,Name,Year,Win,Lose
0,"
                            Boston Bruins
                        ","
                            1990
                        ","
                            44
                        ","
                            24
                        "
1,"
                            Buffalo Sabres
                        ","
                            1990
                        ","
                            31
                        ","
                            30
                        "
2,"
                            Calgary Flames
                        ","
                            1990
                        ","
                            46
                        ","
                            26
                        "
3,"
                            Chicago Blackhawks
                        ","
                            1990
                        ","
                            49
                        ","
                            23
                        "
4,"
                            Detroit Red Wings
                        ","
                            1990
                        ","
                            34
                        ","
                            38
                        "
5,"
                            Edmonton Oilers
                        ","
                            1990
                        ","
                            37
                        ","
                            37
                        "
6,"
                            Hartford Whalers
                        ","
                            1990
                        ","
                            31
                        ","
                            38
                        "
7,"
                            Los Angeles Kings
                        ","
                            1990
                        ","
                            46
                        ","
                            24
                        "
8,"
                            Minnesota North Stars
                        ","
                            1990
                        ","
                            27
                        ","
                            39
                        "
9,"
                            Montreal Canadiens
                        ","
                            1990
                        ","
                            39
                        ","
                            30
                        "
10,"
                            New Jersey Devils
                        ","
                            1990
                        ","
                            32
                        ","
                            33
                        "
11,"
                            New York Islanders
                        ","
                            1990
                        ","
                            25
                        ","
                            45
                        "
12,"
                            New York Rangers
                        ","
                            1990
                        ","
                            36
                        ","
                            31
                        "
13,"
                            Philadelphia Flyers
                        ","
                            1990
                        ","
                            33
                        ","
                            37
                        "
14,"
                            Pittsburgh Penguins
                        ","
                            1990
                        ","
                            41
                        ","
                            33
                        "
15,"
                            Quebec Nordiques
                        ","
                            1990
                        ","
                            16
                        ","
                            50
                        "
16,"
                            St. Louis Blues
                        ","
                            1990
                        ","
                            47
                        ","
                            22
                        "
17,"
                            Toronto Maple Leafs
                        ","
                            1990
                        ","
                            23
                        ","
                            46
                        "
18,"
                            Vancouver Canucks
                        ","
                            1990
                        ","
                            28
                        ","
                            43
                        "
19,"
                            Washington Capitals
                        ","
                            1990
                        ","
                            37
                        ","
                            36
                        "
20,"
                            Winnipeg Jets
                        ","
                            1990
                        ","
                            26
                        ","
                            43
                        "
21,"
                            Boston Bruins
                        ","
                            1991
                        ","
                            36
                        ","
                            32
                        "
22,"
                            Buffalo Sabres
                        ","
                            1991
                        ","
                            31
                        ","
                            37
                        "
23,"
                            Calgary Flames
                        ","
                            1991
                        ","
                            31
                        ","
                            37
                        "
24,"
                            Chicago Blackhawks
                        ","
                            1991
                        ","
                            36
                        ","
                            29
                        "
25,"
                            Boston Bruins
                        ","
                            1990
                        ","
                            44
                        ","
                            24
                        "
26,"
                            Buffalo Sabres
                        ","
                            1990
                        ","
                            31
                        ","
                            30
                        "
27,"
                            Calgary Flames
                        ","
                            1990
                        ","
                            46
                        ","
                            26
                        "
28,"
                            Chicago Blackhawks
                        ","
                            1990
                        ","
                            49
                        ","
                            23
                        "
29,"
                            Detroit Red Wings
                        ","
                            1990
                        ","
                            34
                        ","
                            38
                        "
30,"
                            Edmonton Oilers
                        ","
                            1990
                        ","
                            37
                        ","
                            37
                        "
31,"
                            Hartford Whalers
                        ","
                            1990
                        ","
                            31
                        ","
                            38
                        "
32,"
                            Los Angeles Kings
                        ","
                            1990
                        ","
                            46
                        ","
                            24
                        "
33,"
                            Minnesota North Stars
                        ","
                            1990
                        ","
                            27
                        ","
                            39
                        "
34,"
                            Montreal Canadiens
                        ","
                            1990
                        ","
                            39
                        ","
                            30
                        "
35,"
                            New Jersey Devils
                        ","
                            1990
                        ","
                            32
                        ","
                            33
                        "
36,"
                            New York Islanders
                        ","
                            1990
                        ","
                            25
                        ","
                            45
                        "
37,"
                            New York Rangers
                        ","
                            1990
                        ","
                            36
                        ","
                            31
                        "
38,"
                            Philadelphia Flyers
                        ","
                            1990
                        ","
                            33
                        ","
                            37
                        "
39,"
                            Pittsburgh Penguins
                        ","
                            1990
                        ","
                            41
                        ","
                            33
                        "
40,"
                            Quebec Nordiques
                        ","
                            1990
                        ","
                            16
                        ","
                            50
                        "
41,"
                            St. Louis Blues
                        ","
                            1990
                        ","
                            47
                        ","
                            22
                        "
42,"
                            Toronto Maple Leafs
                        ","
                            1990
                        ","
                            23
                        ","
                            46
                        "
43,"
                            Vancouver Canucks
                        ","
                            1990
                        ","
                            28
                        ","
                            43
                        "
44,"
                            Washington Capitals
                        ","
                            1990
                        ","
                            37
                        ","
                            36
                        "
45,"
                            Winnipeg Jets
                        ","
                            1990
                        ","
                            26
                        ","
                            43
                        "
46,"
                            Boston Bruins
                        ","
                            1991
                        ","
                            36
                        ","
                            32
                        "
47,"
                            Buffalo Sabres
                        ","
                            1991
                        ","
                            31
                        ","
                            37
                        "
48,"
                            Calgary Flames
                        ","
                            1991
                        ","
                            31
                        ","
                            37
                        "
49,"
                            Chicago Blackhawks
                        ","
                            1991
                        ","
                            36
                        ","
                            29
                        "
